Year,UNIT_MEASURE,Sex,Value
2003,NUMBER,_T,5559
2004,NUMBER,_T,5680
2005,NUMBER,_T,5773
2006,NUMBER,_T,5932
2007,NUMBER,_T,6182
2008,NUMBER,_T,6275
2009,NUMBER,_T,6493
2010,NUMBER,_T,6665
2011,NUMBER,_T,6881
2012,NUMBER,_T,7026
2013,NUMBER,_T,7211
2014,NUMBER,_T,7272
2015,NUMBER,_T,7413
2016,NUMBER,_T,7453
2017,NUMBER,_T,7415
2018,NUMBER,_T,7599
2019,NUMBER,_T,7791
2003,NUMBER,M,2453
2004,NUMBER,M,2463
2005,NUMBER,M,2458
2006,NUMBER,M,2470
2007,NUMBER,M,2558
2008,NUMBER,M,2539
2009,NUMBER,M,2641
2010,NUMBER,M,2628
2011,NUMBER,M,2699
2012,NUMBER,M,2732
2013,NUMBER,M,2804
2014,NUMBER,M,2865
2015,NUMBER,M,2859
2016,NUMBER,M,2856
2017,NUMBER,M,2829
2018,NUMBER,M,2865
2019,NUMBER,M,2898
2003,NUMBER,F,3106
2004,NUMBER,F,3217
2005,NUMBER,F,3315
2006,NUMBER,F,3462
2007,NUMBER,F,3624
2008,NUMBER,F,3736
2009,NUMBER,F,3852
2010,NUMBER,F,4037
2011,NUMBER,F,4182
2012,NUMBER,F,4294
2013,NUMBER,F,4407
2014,NUMBER,F,4561
2015,NUMBER,F,4554
2016,NUMBER,F,4597
2017,NUMBER,F,4586
2018,NUMBER,F,4734
2019,NUMBER,F,4893
